"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SPARS","2020-10-06","977","977","955","972","-0.51 %","1,575.00"
"SPARS","2020-10-05","951","977","951","977","1.03 %","776.00"
"SPARS","2020-10-04","941","984","939","967","0.73 %","1,949.00"
"SPARS","2020-10-01","933","960","933","960","1.69 %","1,273.00"
"SPARS","2020-09-30","926","944","926","944","1.07 %","1,010.00"
"SPARS","2020-09-29","931","950","925","934","-0.64 %","911.00"
"SPARS","2020-09-28","935","940","932","940","0.32 %","619.00"
"SPARS","2020-09-27","928","946","928","937","-0.32 %","1,220.00"
"SPARS","2020-09-24","955","957","940","940","-1.88 %","1,055.00"
"SPARS","2020-09-23","965","966","932","958","1.05 %","970.00"
"SPARS","2020-09-22","952","960","942","948","-2.37 %","460.00"
"SPARS","2020-09-21","945","971","940","971","1.68 %","901.00"
"SPARS","2020-09-20","966","966","951","955","-3.05 %","297.00"
"SPARS","2020-09-17","965","999","960","985","2.07 %","705.00"
"SPARS","2020-09-16","935","970","934","965","1.26 %","1,210.00"
"SPARS","2020-09-15","941","977","941","953","-0.73 %","596.00"
"SPARS","2020-09-14","968","1000","955","960","-2.64 %","1,679.00"
"SPARS","2020-09-13","985","995","980","986","0.10 %","1,539.00"
"SPARS","2020-09-10","979","1000","979","985","0.61 %","1,081.00"
"SPARS","2020-09-09","954","979","945","979","4.15 %","2,437.00"
"SPARS","2020-09-08","918","950","916","940","1.84 %","1,641.00"
"SPARS","2020-09-07","942","942","909","923","-2.02 %","1,348.00"
"SPARS","2020-09-06","969","988","942","942","-0.84 %","1,857.00"
"SPARS","2020-09-03","940","970","932","950","-0.63 %","1,312.00"
"SPARS","2020-09-02","937","968","937","956","0.74 %","2,655.00"
"SPARS","2020-08-31","916","957","916","949","2.04 %","2,235.00"
"SPARS","2020-08-30","918","930","910","930","1.31 %","549.00"
"SPARS","2020-08-27","925","932","915","918","-0.76 %","2,244.00"
"SPARS","2020-08-26","894","940","894","925","2.44 %","2,865.00"
"SPARS","2020-08-25","880","915","880","903","2.50 %","3,225.00"
"SPARS","2020-08-24","850","897","850","881","3.65 %","2,206.00"
"SPARS","2020-08-23","855","865","850","850","0.12 %","1,216.00"
"SPARS","2020-08-20","850","863","833","849","-0.12 %","212.00"
"SPARS","2020-08-19","850","850","837","850","-1.51 %","1,035.00"
"SPARS","2020-08-18","840","870","836","863","2.86 %","1,489.00"
"SPARS","2020-08-17","842","842","815","839","0.00 %","1,847.00"
"SPARS","2020-08-16","838","840","822","839","0.12 %","2,177.00"
"SPARS","2020-08-13","830","850","830","838","-0.59 %","550.00"
"SPARS","2020-08-12","833","845","832","843","-0.59 %","829.00"
"SPARS","2020-08-11","861","868","846","848","-1.16 %","1,465.00"
"SPARS","2020-08-10","820","860","820","858","3.37 %","1,842.00"
"SPARS","2020-08-09","855","855","810","830","-2.35 %","511.00"
"SPARS","2020-08-06","821","885","821","850","5.59 %","3,732.00"
"SPARS","2020-08-05","808","808","791","807","-1.22 %","810.00"
"SPARS","2020-08-03","800","820","790","817","1.11 %","585.00"
"SPARS","2020-08-02","840","840","804","808","-4.94 %","1,166.00"
"SPARS","2020-07-30","840","854","824","850","1.19 %","1,617.00"
"SPARS","2020-07-29","885","885","821","840","-6.98 %","4,114.00"
"SPARS","2020-07-28","887","904","876","903","1.80 %","770.00"
"SPARS","2020-07-27","910","910","885","886","-3.59 %","450.00"
"SPARS","2020-07-26","924","924","906","919","-1.71 %","340.00"
"SPARS","2020-07-23","895","935","882","935","2.75 %","860.00"
"SPARS","2020-07-22","915","919","900","910","-2.36 %","875.00"
"SPARS","2020-07-21","1055","1055","915","932","-7.54 %","1,894.00"
"SPARS","2020-07-20","963","1008","963","1008","9.80 %","1,400.00"
"SPARS","2020-07-19","918","918","918","918","2.00 %","10.00"
"SPARS","2020-07-16","898","910","890","900","-1.64 %","920.00"
"SPARS","2020-07-15","900","915","882","915","3.16 %","1,250.00"
"SPARS","2020-07-14","890","915","887","887","-1.44 %","1,483.00"
"SPARS","2020-07-13","868","909","851","900","5.76 %","1,360.00"
"SPARS","2020-07-12","870","870","842","851","-1.62 %","624.00"
"SPARS","2020-07-09","865","880","848","865","-1.14 %","240.00"
"SPARS","2020-07-08","863","875","830","875","-0.57 %","722.00"
"SPARS","2020-07-07","824","888","811","880","8.91 %","890.00"
"SPARS","2020-07-06","777","838","777","808","2.15 %","1,351.00"
"SPARS","2020-07-05","745","807","731","791","7.62 %","290.00"
"SPARS","2020-07-02","729","735","729","735","2.80 %","180.00"
"SPARS","2020-07-01","701","715","701","715","3.92 %","190.00"
"SPARS","2020-06-30","667","688","667","688","1.18 %","210.00"
"SPARS","2020-05-12","680","680","680","680","-1.88 %","10.00"
"SPARS","2020-03-22","700","700","693","693","-1.98 %","76.00"
"SPARS","2020-03-19","725","737","707","707","-3.15 %","1,199.00"
"SPARS","2020-03-18","703","773","685","728","3.56 %","4,147.00"
"SPARS","2020-03-17","755","755","700","703","-6.52 %","1,134.00"
"SPARS","2020-03-16","748","795","735","752","0.00 %","1,889.00"
"SPARS","2020-03-15","773","775","748","752","-4.57 %","1,613.00"
"SPARS","2020-03-12","861","861","784","788","-8.05 %","2,064.00"
"SPARS","2020-03-11","835","857","786","857","4.64 %","3,337.00"
"SPARS","2020-03-10","803","819","803","819","0.00 %","45.00"
"SPARS","2020-03-05","820","877","776","819","-1.44 %","2,903.00"
"SPARS","2020-03-04","905","905","831","831","-9.97 %","2,960.00"
"SPARS","2020-03-03","1025","1005","923","923","-9.95 %","1,216.00"
"SPARS","2020-03-02","1025","1025","1025","1025","-0.97 %","70.00"
"SPARS","2020-03-01","1036","1040","971","1035","-0.10 %","1,210.00"
"SPARS","2020-02-27","1025","1050","1010","1036","-0.86 %","2,064.00"
"SPARS","2020-02-26","1045","1090","1037","1045","1.36 %","2,064.00"
"SPARS","2020-02-25","1000","1070","990","1031","1.08 %","3,036.00"
"SPARS","2020-02-24","1050","1049","1010","1020","-2.86 %","1,930.00"
"SPARS","2020-02-23","1050","1071","1015","1050","1.45 %","4,096.00"
"SPARS","2020-02-20","1019","1096","992","1035","1.57 %","3,041.00"
"SPARS","2020-02-19","939","1019","931","1019","6.37 %","4,524.00"
"SPARS","2020-02-18","938","960","921","936","-2.09 %","1,619.00"
"SPARS","2020-02-17","960","975","940","956","-0.21 %","3,596.00"
"SPARS","2020-02-16","978","978","935","958","-0.10 %","1,045.00"
"SPARS","2020-02-13","974","992","925","959","0.42 %","5,488.00"
"SPARS","2020-02-12","880","962","880","955","9.14 %","5,418.00"
"SPARS","2020-02-11","821","910","821","875","4.79 %","4,658.00"
"SPARS","2020-02-10","856","856","825","835","-0.60 %","860.00"
"SPARS","2020-02-09","835","848","820","840","0.96 %","600.00"
"SPARS","2020-02-06","825","872","810","832","1.34 %","4,785.00"
"SPARS","2020-02-05","817","848","816","821","0.49 %","1,670.00"
"SPARS","2020-02-04","821","845","817","817","-2.39 %","955.00"
"SPARS","2020-02-03","825","837","816","837","-0.12 %","1,391.00"
"SPARS","2020-02-02","865","865","833","838","-1.41 %","2,600.00"
"SPARS","2020-01-30","865","899","843","850","-1.51 %","2,700.00"
"SPARS","2020-01-29","820","863","806","863","5.37 %","3,600.00"
"SPARS","2020-01-28","816","839","795","819","1.36 %","2,002.00"
"SPARS","2020-01-27","765","808","765","808","4.26 %","1,795.00"
"SPARS","2020-01-26","795","795","775","775","-1.90 %","1,790.00"
"SPARS","2020-01-23","795","810","782","790","1.28 %","5,203.00"
"SPARS","2020-01-22","820","820","775","780","-4.99 %","1,680.00"
"SPARS","2020-01-21","766","821","766","821","5.94 %","3,071.00"
"SPARS","2020-01-20","800","830","765","775","-4.44 %","5,445.00"
"SPARS","2020-01-19","783","820","781","814","5.85 %","1,709.00"
"SPARS","2020-01-16","718","785","718","769","7.40 %","4,033.00"
"SPARS","2020-01-15","698","725","698","716","2.58 %","2,891.00"
